student_id,course_id,n,cogproc,male,female,friend,family,social,sad,anger,anx,negemo,posemo,affect,quant,number,interrog,compare,adj,verb,negate,conj,adverb,auxverb,prep,article,ipron,they,shehe,you,we,i,ppron,pronoun,function,Dic,Sixltr,WPS,Tone,Authentic,Clout,Analytic,WC
86072,AnPhA-S116-01,25,11.2044,0,0.2192,0.022,0.088,6.0856,0.3844,0.1436,0.4256,1.5276,2.5116,4.038,3.0808,0.9728,1.916,3.0208,4.522,12.9528,0.6276,7.306,4.7232,7.566,11.9424,7.086,4.7104,0.5396,0,1.7784,0.438,3.0036,5.7592,10.47,46.408,75.7272,19.6072,15.8848,40.0572,24.5732,57.3924,66.13,86.32
86105,FrScA-S116-01,40,12.83625,0.1485,0.0845,0,0.06575,4.02175,0,0.1785,0,0.337,4.16525,4.5025,1.62125,1.007,0.93925,1.99275,3.606,15.30375,3.13825,4.799,6.26175,7.95275,9.1085,4.46175,5.83625,0.528,0.112,1.7165,0.01875,4.84225,7.218,13.054,42.91225,65.4585,7.58025,10.7565,64.53225,45.12925,36.21925,50.35375,25.025
86110,BioA-S116-01,24,15.28041667,0.1275,0.175833333,0.114583333,0.42625,8.819583333,0,0.185416667,0,0.760416667,5.635833333,6.395833333,3.310416667,0.44625,2.287916667,4.415,7.167916667,16.59291667,1.032916667,7.685416667,6.117083333,10.13791667,11.90125,6.470833333,7.097916667,1.0125,0.1275,3.2225,1.661666667,4.802916667,10.82958333,17.92625,57.16583333,88.95375,10.29666667,23.49291667,76.66541667,37.39041667,61.32333333,46.11916667,44.375
86113,BioA-S116-01,25,16.6072,0,0,0.1756,0.0284,12.0668,0.6004,0,0,1.0288,7.3132,8.342,1.878,2.0184,1.8124,1.7604,3.4376,20.8968,0.7488,6.2708,4.3704,10.4232,9.8028,6.21,8.094,2.2788,0,5.568,0.2636,8.5416,16.654,24.748,58.724,93.3164,13.0724,17.8164,77.3452,66.7036,58.5892,35.6892,29.92
86119,AnPhA-S116-01,20,12.388,0.4545,0.2565,0.5715,0,9.895,0.254,0.0165,0.4095,1.094,4.161,5.255,1.459,1.5505,2.076,1.972,3.9825,16.727,1.006,7.425,6.449,9.379,9.774,7.2095,5.2985,0.1865,0.2565,3.4885,0.7415,6.988,11.6595,16.959,53.877,85.6155,16.4285,12.579,57.887,33.637,58.217,41.752,86.7
86130,BioA-S116-01,18,16.15888889,0.068333333,0.403888889,0.093888889,0.403888889,10.17777778,0.056111111,0.112222222,0.152777778,1.451666667,6.095555556,7.602222222,2.51,1.134444444,0.600555556,2.111111111,5.373333333,16.19888889,1.339444444,6.081666667,6.938333333,8.935555556,12.47722222,6.474444444,6.977777778,0.902777778,0.068333333,4.448888889,1.272222222,5.464444444,12.15777778,19.135,57.06944444,90.85166667,16.21555556,19.20722222,68.28722222,51.77555556,67.22666667,46.545,54
86133,OcnA-S116-02,18,16.71722222,0,0,0,0.068333333,5.063333333,0.178888889,0.268333333,0,1.261111111,4.921111111,6.183333333,2.578888889,0.943888889,1.727777778,2.589444444,4.254444444,12.80333333,1.350555556,7.667222222,5.38,8.421666667,9.957777778,7.378333333,5.282777778,1.197222222,0,0.680555556,0.88,1.477222222,4.235,9.517222222,47.065,76.95611111,18.84666667,16.02722222,64.98222222,41.92944444,46.70722222,63.17888889,54.66666667
86202,BioA-S116-01,8,13.4325,0,0,0,0.3125,5.23625,0,0.89625,0,3.14,7.69875,10.8375,1.4725,1.04125,2.51125,1.4725,6.1525,21.32125,1.95,6.31,3.365,14.235,8.02,4.2475,11.6675,1.0925,0,0.29125,0.85625,6.36375,8.6025,20.27,55.1325,86.485,13.52,15.41625,68.4425,39.18375,36.6375,25.2375,35.75
86216,BioA-S116-01,26,19.17653846,0,0,0.077692308,0.063846154,6.955384615,0.575769231,0.176153846,0,1.46,3.994230769,5.455,2.767307692,1.317692308,1.788461538,2.113461538,4.948076923,17.81269231,1.110384615,7.850384615,6.278846154,10.55538462,13.37923077,7.340769231,8.805384615,1.115,0,2.141153846,0.529615385,2.766538462,6.553076923,15.35846154,56.52807692,87.96230769,21.17153846,17.63115385,60.28192308,38.71769231,56.06538462,50.07692308,90
86229,FrScA-S216-01,39,14.66794872,0.327692308,0.111538462,0,0.158205128,5.173846154,0,0.226153846,0,0.652307692,4.365897436,5.087692308,1.701538462,1.524358974,1.08025641,2.245128205,3.891025641,17.42666667,1.11025641,7.071282051,6.264358974,10.37564103,12.30358974,6.007948718,7.621025641,1.544615385,0.315897436,0.733333333,0,4.89025641,7.483076923,15.10512821,54.37923077,86.20230769,21.43615385,18.54179487,65.80589744,45.77820513,40.16461538,45.8625641,52.35897436
86240,OcnA-S216-01,7,17.71142857,0.475714286,0,0,0,7.925714286,0.068571429,0.767142857,0.064285714,1.1,3.5,4.664285714,1.838571429,0.574285714,1.628571429,3.524285714,5.99,20.3,3.412857143,8.455714286,6.512857143,13.43857143,11.77571429,6.204285714,9.774285714,0.591428571,0.475714286,1.785714286,1.79,3.091428571,7.737142857,17.50571429,59.93142857,85.98714286,20.75142857,23.05571429,62.31857143,37.44714286,50.33857143,25.69857143,95.28571429
86251,FrScA-S216-01,34,13.36823529,0.415294118,0.881176471,0,0.171470588,5.999117647,0,0.380294118,0.102941176,1.552941176,5.898529412,7.468235294,2.758529412,1.364705882,1.622058824,2.956176471,6.156764706,16.86,1.545294118,6.14,6.793235294,9.647647059,12.58735294,8.183823529,7.555294118,1.143529412,0.399117647,0.837352941,0.163529412,5.218823529,7.761470588,15.31647059,52.93705882,87.01323529,16.25911765,13.36235294,66.05,51.47382353,40.96941176,52.92764706,45.82352941
86267,AnPhA-S116-01,1,3.74,0,0.93,0,0,3.74,0,0,0,0.93,1.87,2.8,1.87,1.87,0.93,3.74,5.61,14.02,0,8.41,2.8,10.28,9.35,5.61,1.87,0,0.93,0,0.93,9.35,11.21,13.08,46.73,80.37,9.35,21.4,42.74,24.3,32.03,52.5,107
86268,AnPhA-S216-01,29,12.14655172,0,0.051724138,0.210689655,0.026896552,6.491724138,0.190344828,0.246206897,0.174827586,1.134482759,3.247931034,4.430689655,1.885862069,1.042413793,2.042068966,2.798965517,4.95137931,14.57655172,0.851724138,6.94,5.988275862,8.578965517,11.49448276,8.468275862,6.97,0.888275862,0.006551724,1.497931034,1.084827586,2.749310345,6.225862069,13.19655172,52.07896552,81.31034483,18.17965517,16.68965517,60.68206897,32.06517241,57.27862069,58.09655172,77.10344828
86271,FrScA-S116-01,37,15.77486486,0.872972973,0.14,0.356216216,0.072162162,6.984864865,0.115945946,0.014594595,0.081891892,0.336216216,4.818378378,5.154324324,1.608378378,1.565675676,1.76,2.818648649,4.977567568,17.96486486,2.152162162,8.094594595,7.767567568,11.6527027,11.22756757,6.938108108,6.230540541,0.993783784,0.807837838,1.830540541,0.744864865,4.584594595,8.962162162,15.19351351,56.83540541,86.5627027,17.52432432,15.3672973,71.39189189,46.09351351,41.45216216,39.37810811,57.91891892
